Lambda,OverApproximation_Percent,UnderApproximation_Percent
0.05,24.049998071062074,21.18745418772424
0.075,24.39334902202847,20.54318892018055
0.1,24.79842598665175,19.42054704679603
0.125,25.245939585664136,18.69526638632769
0.15,25.789900081015393,17.31028895490143
0.175,26.27599243856333,16.403688129316
0.2,26.86624744415725,15.43150341422013
0.225,27.510512711700937,14.470892326684929
0.25,27.938736931445547,13.244087805254425
0.275,28.521276185332354,12.51109139307897
0.3,29.1693993287296,11.519617298715328
